genes	log2FoldChange	pvalue	padj	mean_Baseline	mean_C3D1
IL10RA	2.37389742574121	2.00440207303283e-06	0.000296179171669531	308.237667895761	1598.87228696372
HLA-DMA	2.39248351815556	2.17997411437253e-06	0.000310521503619781	469.779553604265	2468.23446937926
SLAMF8	2.72327766757908	2.16396779173683e-06	0.000310521503619781	146.576019431724	972.592542156407
GZMA	2.88004979540498	2.26511296058582e-06	0.000313088946996529	150.462783026941	1105.24220495456
LAIR1	2.42389816961637	2.25926716014737e-06	0.000313088946996529	209.715536120894	1129.94904497633
FCER1G	2.58139540301771	2.30099749326183e-06	0.0003150866216967	229.553718638493	1378.2854388439
CD2	2.81587098960062	2.44558106356511e-06	0.000330685091638587	145.968258100388	1027.98902948975
M6PR	0.843525803830278	2.51752022902455e-06	0.000335549481954273	2633.783830098	4730.38254330809
PLXNC1	2.13465139780078	2.54140093396609e-06	0.000336330081048278	905.718056528289	3981.0191762257
GNS	1.22763475450344	2.69532188307147e-06	0.000350312728029112	3725.70386224814	8727.8242318943
SDCBP	1.36916626990381	2.72215142359171e-06	0.000350312728029112	2639.61086458559	6813.61443797669
ITM2A	2.49474621733905	2.78519807320505e-06	0.00035588249245674	138.039244616339	775.598829877139
TM6SF1	2.4219138708435	2.80357590520583e-06	0.00035588249245674	64.3842584944081	347.243098813975
HERPUD1	1.36354911991281	3.01851176780149e-06	0.000378790147731319	1244.12773992854	3188.06001412872
KLHL6	2.37452027718841	3.12532142190894e-06	0.000383674327189611	220.819069773463	1145.76281081694
MFSD1	1.18069793964066	3.19063956050579e-06	0.00038514844936537	2072.72464284939	4704.38982384705
FTL	1.83541453566521	3.43342394997076e-06	0.000405491714597812	14185.0332857175	50626.8632291468
BTK	2.32165621540415	3.4553688652109e-06	0.000405516874370034	112.874770976284	565.665283139716
AIF1	2.49265381978904	3.69087555369706e-06	0.000423818498462591	223.952776138696	1262.64186609925
HAVCR2	2.37816468312831	3.74759122434767e-06	0.000423818498462591	264.264360830002	1378.13956778431
MS4A4A	2.66868115913367	3.73472588347479e-06	0.000423818498462591	162.977825019441	1039.74267061829
PSMC3IP	-1.28654205622896	3.82776943904971e-06	0.000430278179112456	138.284382755336	57.287154441801
DOCK8	1.98751727380536	4.15777343816552e-06	0.000461809835453385	713.172867857022	2829.35330055684
GNG2	1.9486977222256	4.21607137642425e-06	0.000465514153160216	248.468476284102	962.043287538888
LAPTM5	2.46221693094944	4.29893629164539e-06	0.000469111995333936	1427.97299548927	7872.69966329641
PTAFR	1.87995628108771	4.282188252986e-06	0.000469111995333936	384.073691262479	1417.62639356155
SLC6A8	-2.17063956879482	4.43595742963231e-06	0.000472999803639651	1345.24490884546	298.852693478418
TFEC	2.72897030489276	4.41889845715807e-06	0.000472999803639651	269.393052286999	1789.91987562703
CLEC12A	2.73769249898869	4.46975373096722e-06	0.000473895480794593	43.787950251617	292.407768819576
ARHGEF6	2.02765550545818	5.07495406839056e-06	0.000509132488796601	352.453783867419	1438.25044497497
SRGN	2.31009442198923	5.00665459884059e-06	0.000509132488796601	1213.41357193013	6018.93377096139
SAMSN1	2.15667697864312	5.36612430845448e-06	0.000535464596768773	204.345473676718	912.495878587367
KCTD12	1.75517667698098	5.49372457973019e-06	0.000539541582409291	2036.46613986619	6876.90514233896
MARCHF1	2.34576347054038	5.49190002853031e-06	0.000539541582409291	388.533134044934	1977.39850508545
PAG1	1.62897029746801	5.74256819263098e-06	0.000549519602433303	842.655772858337	2600.82466954839
ST8SIA4	2.0578640987323	5.73833579434234e-06	0.000549519602433303	445.979124122349	1858.60113366397
TIMELESS	-1.07286697143335	5.68133009102102e-06	0.000549519602433303	972.563331359645	463.218817579184
PLA2G7	2.71400951761438	6.12320316035781e-06	0.000577703913768228	155.244214782627	1023.14475878257
SLA	2.08269261668227	6.16200531026902e-06	0.000577804116028241	247.98468258291	1051.91749340436
LY96	2.29974668125269	6.4291084316545e-06	0.000599835816673365	80.0665125262427	397.126366714828
TRBC2	2.93958651468395	6.46427624880069e-06	0.00060011639205284	83.8200413617905	644.563039379022
RGS10	1.32071289260079	7.20254786735684e-06	0.000662066715294968	262.309449662992	659.619250342202
CMKLR1	2.50664215205768	7.822130317069e-06	0.000705078413520125	246.212595039633	1402.40198483714
EVI2B	2.73246471115896	8.05078220633902e-06	0.00071536950462041	183.987282189813	1224.85910084344
CTSZ	1.82462145671971	8.10126157127603e-06	0.000716443321895786	1808.07222731497	6404.77595756092
BMP2K	1.25458353313733	8.5202817956365e-06	0.000739496292509677	1865.43068705295	4451.50315608364
GPR183	2.88453155684254	8.52045567468278e-06	0.000739496292509677	148.440610793763	1098.80941203702
SMAP2	1.51486267651785	9.04911503078035e-06	0.000767529483974369	503.610027436667	1439.28784403777
HCST	2.55044926138306	9.17896455166728e-06	0.000775020264860233	22.3977374404601	131.442081295142
ARL6IP5	1.14345330143574	9.64869171279473e-06	0.000807374831214124	1836.92557949793	4052.75635824152
GIMAP6	1.98576563566515	9.63127936226117e-06	0.000807374831214124	313.539791098091	1244.63300323508
SLC1A3	2.19253956901871	1.01834563196461e-05	0.000844547977442653	662.136021115965	3030.04751949601
CCR1	2.24009376195045	1.05529289805836e-05	0.000867478655408328	199.167040533321	942.951739311086
SAMHD1	1.64923635322639	1.07843774511126e-05	0.000878761935536078	2534.20992023023	7952.76977126667
C1orf54	1.6947269654214	1.15363930873092e-05	0.000919953397475171	89.1209071245288	284.821773709021
NPC2	1.19340556727612	1.17803551443908e-05	0.000931232901996534	1873.28943452782	4283.83356194224
IGHV3-7	4.55462499566745	1.21443013173308e-05	0.000936415961080134	366.059187578936	8595.13404980718
LHFPL2	1.65541225169082	1.20551034115858e-05	0.000936415961080134	1290.40069150369	4065.59411360536
PDGFD	1.99962942709594	1.20327345707457e-05	0.000936415961080134	130.437332088143	518.554998899896
CCL8	2.66578400818778	1.26359169719175e-05	0.000970313624263292	36.3075575744183	231.808197031949
BIN2	2.28169760553498	1.34004122714779e-05	0.00102284699103817	128.817079599232	626.405544645921
DOCK2	2.18390061235273	1.35392929681902e-05	0.00102284699103817	549.858464626468	2498.97009029067
CD3E	2.86667851791649	1.38114888182141e-05	0.00103920315059627	51.9945503255144	382.349724019509
GMFG	2.0436845647959	1.39650020284981e-05	0.00104234775140709	134.45797915585	552.897818209882
NPL	1.80596598536409	1.44416038161622e-05	0.00106382443028423	622.5260811197	2179.80564916179
LTA4H	1.2646545776894	1.6652651442942e-05	0.00118097844086604	1733.83286578839	4170.21747842928
RAB8B	1.2400594618617	1.67083766553396e-05	0.00118097844086604	995.088086917888	2353.91466525368
APBB1IP	2.23024103266089	2.1566585968809e-05	0.0014633908879199	145.06475201737	681.308652522436
ARRB2	1.36401492773235	2.22271178627352e-05	0.0014844704319901	246.517091345797	635.478563837851
CD163	2.45375974716676	2.36796412093324e-05	0.00157246300699694	1206.50129508554	6613.5779397909
ADORA3	2.50500880522331	2.39679654503304e-05	0.00158395313881239	52.7276756939436	298.767830476338
TREM2	2.38286446357979	2.41073253709925e-05	0.00158395313881239	78.9247619858673	414.112717842342
LY86	2.46230061078307	2.46888583564683e-05	0.00161647051554981	52.3773020864444	289.384414736329
MGAT4A	1.94622876188603	2.49621803722504e-05	0.00162865134876291	909.256149461153	3496.2502113913
RPL36AL	0.842038838890839	2.53348947589392e-05	0.00164720953380419	1980.46680422389	3554.15458237767
PIK3CG	2.10305220381253	2.55019229200975e-05	0.00165231208919798	268.769864773265	1150.6847949489
CTSS	2.51559747596433	2.57369607307338e-05	0.00166177054406744	2729.93765844482	15584.8315918932
ARHGAP15	2.22537545208053	2.7782150813875e-05	0.00176933424637169	139.447010890125	653.146587654564
CDC42SE2	1.20263018856011	2.83208402425215e-05	0.00178445933779	1374.42521370394	3154.36771977982
CYBB	2.44710399632381	2.84021663088762e-05	0.00178445933779	1813.31947171301	9892.02834133424
CCL3	2.76533654554635	2.92513308703714e-05	0.00181376632400519	112.496781700461	766.948361706324
HERPUD2	0.668949865247203	2.96841462145979e-05	0.00183412638531257	641.792395872199	1020.53126811025
ARHGAP30	1.85537722042797	3.10064072553483e-05	0.00189078287380653	341.451907979764	1238.01524966198
FCGR2B	2.27040344074282	3.14905391286398e-05	0.00190783590954681	154.863330934119	747.248028169894
RNF135	0.814606503281742	3.14056912096996e-05	0.00190783590954681	285.760089844587	507.719473452368
LAP3	1.43495064011842	3.40163121113663e-05	0.00202968069079766	1932.51984532916	5225.34458850145
FPR3	2.29996146984036	3.48435465624798e-05	0.00206295832977112	497.179716224357	2451.73922233388
GIMAP5	2.09616675794714	3.50459694821783e-05	0.00206295832977112	140.943425669356	606.003305953763
RNASE6	2.25934528626569	3.50053466023012e-05	0.00206295832977112	65.5925332734174	316.174463826055
TLR1	1.73803974771881	3.52881552715226e-05	0.00206419115161947	335.046117871542	1120.67449056472
SOAT1	1.45063155016012	3.53998197110016e-05	0.00206425198689778	1302.90615562092	3562.51603929263
CD69	2.83247677647006	3.56127250078389e-05	0.00207019765933418	167.691045951208	1189.18054849106
FYB1	2.1054248412968	3.64353671438367e-05	0.00211144084131674	833.922437223726	3590.27326590619
DMXL2	1.54418863894102	3.6908648062895e-05	0.00213224573638891	1474.60342525547	4296.43471277414
CARD16	1.5121298087903	3.74786448729153e-05	0.00215328352597416	125.128594512367	353.909595958063
GBP5	2.92141086550984	3.76535796173897e-05	0.00215526317687267	1503.85331002976	11396.5345763194
MAFB	1.37860782181976	3.81572911813242e-05	0.00217741606557648	916.877128727194	2387.97446379954
LEPROTL1	0.907275587563621	3.88445189292991e-05	0.00220315721343684	685.43955639263	1282.93643476979
CSF2RA	1.8266457695003	3.95083409159173e-05	0.00223401709542732	122.940483541534	438.037508129797
APOL3	1.88171746065126	4.00868388110332e-05	0.00224800405939841	386.076402025002	1425.54563801561
ATP6V1B2	1.03620620728638	4.16405816635565e-05	0.00231253944595822	1659.83196608088	3405.6141319315
CXCL9	3.13509019649611	4.15491966438406e-05	0.00231253944595822	1020.14919287338	8965.56554762675
GUSBP15	-2.07343803439878	4.25170350623019e-05	0.00234724223154601	188.465319530322	44.6329587074276
FBXO33	0.835401493761153	4.31879137623312e-05	0.00237404396833149	410.749268433176	737.313608768478
C5AR1	2.3019641642347	4.46758545074546e-05	0.00243094889486134	132.911167321577	656.121974970804
EMILIN2	1.63958009728841	4.54702898946405e-05	0.00246649886463369	306.340834765573	957.672846954199
BTG2	1.29645177404031	4.63374746717721e-05	0.00250508709130989	1291.16662850068	3172.56461299102
LCP2	1.98473858825612	4.64501679310409e-05	0.00250508709130989	266.016838058565	1055.38171888528
MDFIC	1.09149249983895	4.79541103768697e-05	0.00254935526960794	1086.59994536274	2321.23653761473
CYTIP	2.20499980940985	5.07872449452468e-05	0.00266954926951635	182.786796754619	843.642191387747
ITGAL	2.32274912721166	5.12333602852982e-05	0.00268543399697658	236.074764697024	1181.74983813692
HMOX1	1.78063825383867	5.15134813924713e-05	0.00268738637137767	374.923136715845	1288.0587726666
TRBC1	2.72143954013958	5.15586452815224e-05	0.00268738637137767	48.5165078880899	322.623711138103
LCP1	2.13708188823017	5.42522689669304e-05	0.00280428625740421	2460.08269266162	10823.227960792
LMO2	1.42155232140588	5.50902442387394e-05	0.00283973468921236	143.947523673163	387.36296431295
PRF1	2.06301657773514	5.54475116190111e-05	0.0028438041995797	91.7910267080729	384.193974912339
GLUL	1.55263180173271	5.79932355431001e-05	0.00294864788892165	8973.27610096616	26324.4147324954
BTN3A1	1.37874485196428	5.91755241707908e-05	0.00300058500279064	821.372134970874	2135.07378449521
ARHGAP25	1.68731550857759	6.02964441129142e-05	0.00302454743856714	207.800649315775	672.168794728114
CD68	1.91370520437554	6.30051381424533e-05	0.00314925547858964	830.009402181437	3128.05505939493
STAMBPL1	1.30185430177383	6.32483766719268e-05	0.00314925547858964	99.8789166056585	244.363464596063
S100A4	1.33401443136001	6.44582007326148e-05	0.00319890964274093	546.747203906211	1381.52450325038
SASH3	2.09418981733588	6.77680857614805e-05	0.00332776968502427	143.82686288692	615.005783055788
C1QA	2.38950180049994	7.36036133835998e-05	0.00355814358999474	724.385682770082	3798.23158517349
GIMAP8	1.8015451891593	7.66007616060337e-05	0.0036934630789886	230.30926002591	805.371039416886
PIP4K2A	1.27992071250046	7.77960879480154e-05	0.00374143041523187	657.054798910293	1599.11368381971
DEPDC1B	-1.20080256273765	7.94704614237773e-05	0.00379263122805034	376.715131232246	164.05761979077
MIF	-2.25604464826835	8.28118870864508e-05	0.00391207547603334	557.728432828103	116.422926181581
PRKCH	0.951700834145075	8.30697533951306e-05	0.00391434747058873	890.30344298002	1727.39725951483
ACP2	1.0316021270385	8.59790225719465e-05	0.00400010633552681	389.658374277898	795.06078392141
VCPIP1	0.877501281676766	8.71239758778835e-05	0.00403407789052433	2025.73310449001	3724.10655944836
ZFP36L2	1.34283158657559	9.05369574755576e-05	0.00418173174874728	1638.90558963681	4150.08859817699
CCL4L2	2.43128302069894	9.46485630742426e-05	0.00432877987001315	49.9835845828225	272.414792120812
STK17A	1.13911524954047	9.6092568775911e-05	0.00438407660967848	1029.54195560732	2266.49497375274
DUSP4	2.12657001906953	9.80865120034972e-05	0.00445815139824747	298.491669573188	1303.59452430473
HLA-DRB1	2.17242283073133	9.81940098970906e-05	0.00445815139824747	3425.42583786368	15443.8069244148
TRDC	2.58089109462928	9.85913351438523e-05	0.00445901978947649	24.5914689419207	149.539762363636
IFI30	1.70188567203108	0.000104263704035169	0.00463849214311551	959.222174779979	3123.10862451117
ZBTB1	0.826834928513795	0.000105125238909683	0.00464411571388291	1581.1176047974	2807.13029467267
GBP2	1.5428865635832	0.000107463269187623	0.0047293976486817	2092.20519721804	6098.18336672697
GIMAP2	1.87586765423175	0.000108485838353492	0.00476316645570859	160.837567179834	587.482373905009
PLEKHO2	1.41185805427098	0.000111628269598287	0.00482172108959266	425.619817397739	1134.73068564001
ME2	0.839561540024878	0.000113530452206793	0.00489255944152137	960.323885867287	1716.01722659476
BTN3A3	1.54322446952622	0.000115261769970734	0.00492170395344142	460.191888831873	1339.4711599718
H4C4	-1.72924510425759	0.000118274345845177	0.00502733324253074	1237.69334931123	372.987736213577
GIT2	0.706725847247521	0.000119276917372374	0.00504759484206881	809.970367339479	1322.7891899224
TYROBP	2.1369681743451	0.000119292032441176	0.00504759484206881	108.195203784384	476.154220484104
IQGAP3	-1.54373065139322	0.000120790258191085	0.00508791471296985	959.898804959016	329.297810493708
NKG7	2.42205643303602	0.000121326594572304	0.00509899606918738	62.4155857218759	332.358875071117
MAPRE2	1.2642021152333	0.000122072128893338	0.00510374254968158	355.323439347446	849.118896304564
CTSL	1.49283790638101	0.00012403329281438	0.00516620813374181	1478.45936797726	4163.99327984201
RGL1	1.17397927604609	0.000126061136461271	0.00520527147310047	480.565567039524	1087.70584449891
SKAP2	0.823868980704322	0.000127569234247012	0.00525483865573783	969.971245174426	1714.25734538152
GNPTAB	0.838154634450895	0.000132888473058036	0.00541544008419903	2157.21799119755	3851.19647379034
FMNL2	1.29759231187405	0.000137698159376007	0.0055256938794759	1429.31346500605	3514.32592184698
PLXNB1	-1.79033690077732	0.000138445049944947	0.00553371240563537	1038.78406706052	299.716702263347
VTI1B	0.76424791853994	0.000140010601728787	0.00557057106238626	1195.30098696076	2031.8124440663
CXCR4	2.36709878369174	0.000145700127781467	0.00576009403475038	685.345115748767	3537.07844973816
SEMA4B	-1.74664672138376	0.000148114610016998	0.00582836069682656	1778.83507310527	529.825862313588
SIGLEC10	2.02902232801176	0.000148877469572474	0.00582836069682656	100.2366814788	408.527262552493
ZEB2	1.70804007493006	0.000148988641606981	0.00582836069682656	959.421336467862	3137.17635570323
TRAF3IP3	2.18260996572582	0.000152173213853716	0.00594048571236474	83.8050886625754	377.455419018501
C1QB	2.21732704952176	0.000153498442987433	0.00597970969967743	821.294343275094	3819.84397642276
EPB41L3	1.73162330339008	0.000154686155156466	0.00600092236012402	383.924290245233	1273.72819400773
RASSF4	1.96321232488154	0.000161358691874366	0.00616998604585177	271.521911267843	1059.71737039498
B2M	1.46266293198069	0.000162093978574223	0.00618542666706545	47674.3396248883	131386.502644265
CLEC2D	1.5235262062121	0.000162482402373369	0.00618759515976952	256.077131214645	736.172395629238
LSR	-1.76170913904676	0.000165596658655778	0.00628055620023742	490.843702860329	143.87084705073
ITGA4	1.79930931072432	0.000169910153272229	0.0064050978991107	706.828110549022	2461.9572863381
ATP8B4	1.51941530300117	0.000177385128289112	0.0066067993889717	164.462213741837	472.291234832609
GIMAP7	1.94251036560925	0.000179464460700897	0.00665260909622993	94.8904708955901	367.45689929539
ACP5	1.61148368761254	0.000180892159949806	0.00668405486071955	435.646165797834	1330.75011309802
MILR1	1.92875309434265	0.000183690885652534	0.00676069413466722	59.8388208063584	228.306223709534
ODAM	-7.37064164203919	0.000185182603627438	0.00680217988914957	239.221531096006	618.961338475349
XCL2	2.1067752294736	0.000187566456660653	0.00686272564958387	14.8326156091223	65.6597867040455
WASHC2C	0.635454583531138	0.000193056264843243	0.00695449788026043	981.899057742986	1521.21031859445
DRAM2	1.02504480849464	0.000196632141247171	0.00704252544274895	619.253042776015	1256.18375488528
NRARP	-1.46565306272846	0.000198237892921632	0.00708643502283075	498.259514647956	179.893790563338
NAIP	1.50014573112882	0.000199691901985316	0.00712476269798471	509.978541793291	1444.07039488287
FCHO2	1.07962821621988	0.000203447970126003	0.0072311221381928	1298.60951283119	2739.68116728023
CYRIA	1.39159934044167	0.000207039309955035	0.00727923897127657	317.853179424117	836.203425228656
DOCK4	1.25310534413254	0.000207042395278661	0.00727923897127657	710.707912019901	1694.07704305232
CHAF1B	-1.05979849602592	0.000208873585012039	0.00732628025624934	347.589292197224	167.444772798442
NOTCH1	-1.72470500258611	0.000213820326090051	0.00745773324269225	1364.72555371955	412.68289023994
CALHM6	1.97923182301621	0.000218483305907406	0.00755313330741758	120.783234187202	477.452155910082
KCNS3	-1.67258649057991	0.000225349093907828	0.00771562218774325	412.718676761522	129.530790180741
ZNF692	-1.52916594644755	0.000227814364746758	0.0077715101392587	166.71983830951	57.5818509443456
CD83	1.86320282927299	0.000232362705665076	0.00789779250949055	354.281218761723	1291.89591705961
NEK9	0.628909735081732	0.000235585171982413	0.00798442357120234	1354.50307739037	2097.34110764727
ETS1	1.48753034429216	0.000236455926262547	0.0079932383769187	1555.21392924886	4363.15529959443
TCEA3	-1.4831442634869	0.000243695068383485	0.00816400354764061	536.841680620086	191.220461841604
HBB	-3.63387962884398	0.000245032736228905	0.00819410548034294	10593.3250812432	11691.2769801449
E2F7	-1.36833347740892	0.00025091270047582	0.00830147338808299	725.046767277922	281.598883961606
PECAM1	1.51479057388387	0.000250080785384848	0.00830147338808299	1696.04910545436	4847.12205682246
ITGAM	1.83843603277491	0.000252006979567693	0.00832292077651883	234.084511741484	836.651295336936
CCL20	-2.94009429892519	0.000254318301734277	0.00838441609604524	244.23594755994	31.6601427362497
SNX20	2.00961066828475	0.000263339880437034	0.00862091608588604	109.884313283662	442.794764741926
CD74	2.09965181914987	0.000265313465984093	0.00866829235192171	7121.93514810857	30526.7316453482
FANCA	-1.2868349406021	0.000266208547766451	0.00866919982778705	453.249515937566	185.676414850292
SCARNA22	-1.7027486120078	0.000267917180599133	0.00870964214282197	144.69415399413	43.5184663862984
NDUFA4L2	-2.7495776330336	0.000268989322396517	0.00871413325680384	506.577139418175	75.2901409639958
MBP	0.83445684753286	0.000272825948776768	0.00880784118369287	1140.89367432317	2035.19521056888
E2F1	-1.57002602554441	0.000276321493246141	0.0088742130023947	329.756212477806	111.278330922189
EFNA1	-1.30571070823091	0.000277076134678697	0.0088742130023947	1431.77038653691	579.15517337172
RNU5A-8P	-3.18047104641358	0.000277259709560349	0.0088742130023947	7.55990627274679	0.776786425756425
FAM131A	-1.28680174688457	0.000282210361715243	0.00900178692240416	227.653890909244	93.5389239567793
LACTB	0.944569702490022	0.000290364317450725	0.0092032810127615	455.729315864881	874.473444395736
ENTPD1	1.45968930046896	0.000291394144377889	0.00921595717642613	676.161170917909	1862.24149955551
PLEK	2.04031967274874	0.000295858073705908	0.00929412736591286	629.14557932722	2589.80636091903
CYP27A1	2.37183405860108	0.000299898750036013	0.00938752308975129	230.721136828533	649.850467317386
CD52	2.22306754255548	0.00030393433462261	0.00948397104357507	147.440503512317	688.981024399245
SPAG5	-1.00187117039039	0.000305837338804174	0.00952742027059414	1004.85221912659	502.619730359609
ALAS2	-3.94386290518542	0.000310831180783512	0.00961875594265393	72.4695571698559	124.800454921995
TRIM34	1.03819993849244	0.000309906259425835	0.00961875594265393	193.787744995643	401.336608117632
RESF1	0.983607606547373	0.000312043038096737	0.00964027001802171	2691.97337448529	5324.01238997789
CARD8-AS1	1.2729056929607	0.000320705240735592	0.00985891234287669	77.2707507400509	187.171033410016
PLEKHA2	0.905632121532236	0.000324548705341867	0.00994430023264243	1205.97192944667	2260.31060731623
IGKV2D-30	4.62544832429182	0.000329297699308562	0.0100149950615035	7.82495212355748	196.553505496762
VIM	1.63971919473757	0.000328765702841698	0.0100149950615035	5987.00663479079	18658.5155409889
GPR34	2.03615091021669	0.000334228654555408	0.0101110314796207	167.042831258714	687.82650203902
